# vx_mps,ax_max_machines_mps2
0.000000,7.000000
0.250000,7.000000
0.500000,7.000000
0.750000,7.000000
1.000000,7.000000
1.250000,7.000000
1.500000,7.000000
1.750000,7.000000
2.000000,7.000000
2.250000,7.000000
2.500000,7.000000
2.750000,7.000000
3.000000,7.000000
3.250000,7.000000
3.500000,7.000000
3.750000,7.000000
4.000000,7.000000
4.250000,7.000000
4.500000,7.000000
4.750000,7.000000
5.000000,7.000000
5.250000,7.000000
5.500000,7.000000
5.750000,7.000000
6.000000,7.000000
6.250000,7.000000
6.500000,7.000000
6.750000,7.000000
7.000000,7.000000
7.250000,7.000000
7.500000,7.000000
7.750000,7.000000
8.000000,7.000000
8.250000,7.000000
8.500000,7.000000
8.750000,7.000000
9.000000,7.000000
9.250000,7.000000
9.500000,7.000000
9.750000,7.000000
10.000000,7.000000
10.250000,7.000000
10.500000,7.000000
10.750000,7.000000
11.000000,7.000000
11.250000,7.000000
11.500000,7.000000
11.750000,7.000000
12.000000,7.000000
12.250000,7.000000
12.500000,7.000000
12.750000,7.000000
13.000000,7.000000
13.250000,7.000000
14.200000,7.000000
13.750000,7.000000
14.000000,7.000000
14.250000,7.000000
14.500000,7.000000
14.750000,7.000000
15.000000,7.000000
